state,x,y
Adrar,-57,-39
Ain Defla,6,214
Algiers,28,228
Annaba,132,232
Ain Temouchent,-63,191
Batna,94,198
Bechar,-96,46
Biskra,80,177
Borj Bou Arreridj,69,212
Bejaia,69,226
Blida,26,222
Boumerdes,43,227
Bouira,48,215
Chlef,-12,215
Constantine,113,219
Djelfa,33,175
El Bayadh,-18,121
El Taref,144,228
El Oued,121,135
Guardaia,34,85
Guelma,128,221
Illizi,143,-23
Jijel,95,229
Khenchela,118,185
Lagouat,20,149
Mascara,-37,192
Medea,29,211
Mila,99,219
Mostaganem,-33,208
Msila,57,192
Naama,-59,136
Oum El Bouaghi,121,207
Oran,-52,199
Ouargla,99,81
Relizane,-22,203
Saida,-33,174
Setif,84,214
Sidi Bel Abbes,-53,176
Skikda,113,231
Souk Ahras,140,214
Tamanrasset,56,-93
Tebessa,140,185
Tiaret,-5,183
Tipaza,10,222
Tissemsilt,0,201
Tizi Ouzou,56,227
Tindouf,-185,-13
Tlemcen,-72,175






























